empresa,titulo,link,data_abertura,data_fechamento
C&A,Consultor(a) de Produtos e Serviços Financeiros (Shopping Valinos),https://cea.gupy.io/jobs/9042758?jobBoardSource=gupy_public_page,2025-06-13,2025-06-28
C&A,Analytics Engineer Sênior,https://cea.gupy.io/jobs/8951680?jobBoardSource=gupy_public_page,2025-06-13,2025-06-17
AmbevTech,[Ambev Tech] Product Manager - Vaga afirmativa para PCD,https://ambevtech.gupy.io/jobs/9305510?jobBoardSource=gupy_public_page,2025-06-13,
AmbevTech,[Ambev Global Tech] Data Analyst – Consulting,https://ambevtech.gupy.io/jobs/8650006?jobBoardSource=gupy_public_page,2025-06-13,
BMG,Banco de Talentos - Produtos,https://bmg.gupy.io/jobs/7427343?jobBoardSource=gupy_public_page,2025-06-13,
AmbevTech,[Ambev Tech] Pessoa Engenheira de Dados,https://ambevtech.gupy.io/jobs/8604342?jobBoardSource=gupy_public_page,2025-06-13,2025-07-01
AmbevTech,[Ambev Global Tech] Analytics Consultant,https://ambevtech.gupy.io/jobs/8801692?jobBoardSource=gupy_public_page,2025-06-13,
OLX,Pessoa Cientista de Dados - Especialista,https://vemsergrupoolx.gupy.io/jobs/9194579?jobBoardSource=gupy_public_page,2025-06-13,2025-07-16
BMG,Especialista de Analytics,https://bmg.gupy.io/jobs/9280644?jobBoardSource=gupy_public_page,2025-06-13,2025-06-24
BMG,Coordenação de Franquias e Dados,https://bmg.gupy.io/jobs/9208671?jobBoardSource=gupy_public_page,2025-06-13,
OLX,Data Engineer Pleno - Data Platform,https://vemsergrupoolx.gupy.io/jobs/9086023?jobBoardSource=gupy_public_page,2025-06-13,2025-07-05
C&A,Gerente de Dados,https://cea.gupy.io/jobs/9091264?jobBoardSource=gupy_public_page,2025-06-13,
AmbevTech,[Ambev Tech] Gerente de Produtos de Dados (Data Product Manager),https://ambevtech.gupy.io/jobs/8827828?jobBoardSource=gupy_public_page,2025-06-13,
OLX,Analytics Engineer Pleno - Data Operation Center,https://vemsergrupoolx.gupy.io/jobs/8939980?jobBoardSource=gupy_public_page,2025-06-13,2025-07-16
OLX,Staff Data Engineer - User Knowledge,https://vemsergrupoolx.gupy.io/jobs/9042899?jobBoardSource=gupy_public_page,2025-06-13,2025-07-15
OLX,Data Engineer Pleno (Vaga Afirmativa para Mulheres),https://vemsergrupoolx.gupy.io/jobs/9307149?jobBoardSource=gupy_public_page,2025-06-13,2025-07-15
C&A,Gerente de Produto Masculino,https://cea.gupy.io/jobs/9031313?jobBoardSource=gupy_public_page,2025-06-13,2025-06-18
AmbevTech,[Ambev Global Tech] Product Onwer Logistic/Planning [MM/SD],https://ambevtech.gupy.io/jobs/9321471?jobBoardSource=gupy_public_page,2025-06-13,
C&A,Consultor(a) de Produtos e Serviços Financeiros (Shopping Valinhos),https://cea.gupy.io/jobs/9042833?jobBoardSource=gupy_public_page,2025-06-13,2025-06-28
AmbevTech,[Ambev Tech] Cientista de Dados Pleno e Senior,https://ambevtech.gupy.io/jobs/8604426?jobBoardSource=gupy_public_page,2025-06-13,2025-07-01
BMG,Analista de Produtos Júnior - Analytics,https://bmg.gupy.io/jobs/9063027?jobBoardSource=gupy_public_page,2025-06-13,2025-06-30
C&A,Operador(a) de Vendas e Atendimento - Produtos e Serviços Financeiros (Zona Norte/RJ),https://cea.gupy.io/jobs/9206142?jobBoardSource=gupy_public_page,2025-06-13,2025-07-12
BMG,Designer de Produtos Pleno,https://bmg.gupy.io/jobs/9172254?jobBoardSource=gupy_public_page,2025-06-13,2025-07-16
